source_cite,first_when,second_when,first_where,second_where,first_where_comb,second_where_comb,rank,cite_count,cite_year
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,3,2012
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,8,2013
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,1,2014
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,6,2015
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,0,2016
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,4,2017
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,0,2018
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,3,2019
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,0,2020
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,1,2021
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,1,2006
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,22,2007
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,4,2008
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,2,2009
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,1,2010
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,2,2011
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,0,2012
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,0,2013
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,0,2014
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,4,2015
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,0,2016
Ridgeway 1997,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,15,4,2017
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,2,2012
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,0,2013
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,3,2014
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,15,2015
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,5,2016
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,2,2017
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,0,2018
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,4,2019
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,1,2020
Acker 2006,2012,2018,Outcome,Proposal,Outcome,Proposal,18,2,2021
Britton 2017,2017,2018,Outcome,Proposal,Outcome,Proposal,19,3,2017
Britton 2017,2017,2018,Outcome,Proposal,Outcome,Proposal,19,0,2018
Britton 2017,2017,2018,Outcome,Proposal,Outcome,Proposal,19,20,2019
Britton 2017,2017,2018,Outcome,Proposal,Outcome,Proposal,19,8,2020
Britton 2017,2017,2018,Outcome,Proposal,Outcome,Proposal,19,2,2021
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,4,2014
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,2,2015
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,11,2016
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,7,2017
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,1,2018
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,3,2019
Winslow 2010,2014,2016,Outcome,Proposal,Outcome,Proposal,20,5,2020
