citing_doc,cited_doc,cite_year
204,73,2014
204,664,2014
204,690,2014
204,751,2014
270,165,2016
270,162,2016
270,164,2016
270,73,2016
270,664,2016
270,745,2016
270,690,2016
270,416,2016
125,165,2009
125,164,2009
36,165,2012
36,164,2012
36,495,2012
61,165,2019
61,584,2019
61,585,2019
61,586,2019
269,165,2008
269,164,2008
269,215,2008
269,493,2008
127,165,2013
127,164,2013
258,165,2006
258,164,2006
258,417,2006
258,30,2006
249,165,2015
194,165,2004
194,164,2004
187,165,2011
187,164,2011
123,274,2019
123,242,2019
123,580,2019
314,473,2018
314,10,2018
314,772,2018
254,117,2009
254,219,2009
254,613,2009
254,614,2009
254,615,2009
254,616,2009
254,324,2009
254,374,2009
254,224,2009
151,162,2017
272,162,2009
276,162,2014
119,164,2007
119,678,2007
119,629,2007
39,164,2006
39,309,2006
39,451,2006
70,164,2011
70,546,2011
86,353,2016
86,74,2016
86,219,2016
86,757,2016
86,455,2016
37,74,2008
37,219,2008
37,277,2008
37,225,2008
37,491,2008
84,277,2007
84,670,2007
84,113,2007
84,671,2007
84,345,2007
84,346,2007
265,371,2010
304,221,2008
304,26,2008
304,227,2008
304,729,2008
89,219,2006
273,565,2016
190,632,2013
190,414,2013
172,414,2012
172,73,2012
172,71,2012
172,604,2012
172,605,2012
172,463,2012
172,208,2012
172,464,2012
23,414,2015
23,73,2015
23,610,2015
23,277,2015
59,67,2017
59,576,2017
59,405,2017
130,67,2008
130,219,2008
130,617,2008
130,618,2008
130,332,2008
130,338,2008
130,328,2008
130,714,2008
130,711,2008
130,715,2008
130,717,2008
130,718,2008
130,167,2008
130,765,2008
130,766,2008
130,768,2008
130,769,2008
130,764,2008
130,485,2008
130,381,2008
130,486,2008
130,487,2008
130,382,2008
240,67,2015
240,619,2015
240,322,2015
240,637,2015
240,330,2015
240,723,2015
240,323,2015
240,527,2015
283,67,2005
283,737,2005
283,670,2005
283,671,2005
283,334,2005
283,335,2005
283,325,2005
283,702,2005
283,359,2005
283,360,2005
283,361,2005
283,362,2005
285,67,2020
285,505,2020
