citing_author,cited_author,cite_year
115,564,2020
119,393,2020
132,393,2020
216,393,2020
191,393,2020
528,393,2020
115,393,2020
119,560,2020
132,560,2020
216,560,2020
191,560,2020
528,560,2020
115,560,2020
119,392,2020
132,392,2020
216,392,2020
191,392,2020
528,392,2020
115,392,2020
119,406,2020
132,406,2020
216,406,2020
191,406,2020
528,406,2020
115,406,2020
119,343,2020
132,343,2020
216,343,2020
191,343,2020
528,343,2020
115,343,2020
119,666,2020
132,666,2020
216,666,2020
191,666,2020
528,666,2020
115,666,2020
119,185,2020
132,185,2020
216,185,2020
191,185,2020
528,185,2020
115,185,2020
119,179,2020
132,179,2020
216,179,2020
191,179,2020
528,179,2020
115,179,2020
119,327,2020
132,327,2020
216,327,2020
191,327,2020
528,327,2020
115,327,2020
26,290,2017
26,343,2017
26,161,2017
26,535,2017
26,381,2017
26,454,2017
26,491,2017
26,628,2017
26,540,2017
26,76,2017
26,585,2017
26,21,2017
26,613,2017
26,122,2017
26,682,2017
26,231,2017
26,538,2017
26,707,2017
116,290,2009
475,290,2009
449,290,2009
116,744,2009
475,744,2009
449,744,2009
427,290,2010
137,290,2010
427,641,2010
137,641,2010
427,122,2010
137,122,2010
427,215,2010
137,215,2010
427,682,2010
137,682,2010
427,68,2010
137,68,2010
427,377,2010
137,377,2010
427,744,2010
137,744,2010
427,582,2010
137,582,2010
427,515,2010
137,515,2010
427,481,2010
137,481,2010
427,473,2010
137,473,2010
427,423,2010
137,423,2010
427,674,2010
137,674,2010
427,397,2010
137,397,2010
427,263,2010
137,263,2010
427,353,2010
137,353,2010
427,491,2010
137,491,2010
427,678,2010
137,678,2010
427,578,2010
137,578,2010
417,564,2017
11,564,2017
428,564,2017
502,564,2017
417,666,2017
11,666,2017
428,666,2017
502,666,2017
161,564,2017
161,343,2017
161,666,2017
161,161,2017
161,641,2017
161,122,2017
161,337,2017
161,678,2017
161,682,2017
161,291,2017
161,750,2017
161,195,2017
161,95,2017
161,752,2017
161,49,2017
417,564,2018
464,564,2018
678,343,2019
678,161,2019
678,641,2019
678,678,2019
678,535,2019
678,381,2019
678,454,2019
678,10,2019
678,250,2019
678,231,2019
678,470,2019
567,343,2018
226,343,2018
567,641,2018
